Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,ADANIENT,EQ,161.0,160.9,162.35,155.45,157.05,157.25,158.02,4726656,74690254200000.0,26782,656893,0.139
2019-01-02,ADANIENT,EQ,157.25,157.0,157.85,152.5,154.5,154.85,155.46,2735262,42522468005000.0,15331,478706,0.17500000000000002
2019-01-03,ADANIENT,EQ,154.85,154.9,156.1,150.3,152.0,152.5,153.22,2758876,42270519250000.0,14426,648341,0.23500000000000001
2019-01-04,ADANIENT,EQ,152.5,152.1,154.0,150.0,151.0,152.55,151.94,2777308,42197134385000.0,15629,305088,0.1099
2019-01-07,ADANIENT,EQ,152.55,152.9,154.45,150.25,150.8,151.25,152.09,2714218,41280306090000.0,13982,448867,0.1654
2019-01-08,ADANIENT,EQ,151.25,150.5,154.3,149.65,153.1,153.45,151.93,2791866,42415656000000.0,16925,605039,0.21670000000000003
2019-01-09,ADANIENT,EQ,153.45,153.6,154.45,147.6,149.0,149.35,149.69,4054809,60694483795000.01,21522,847969,0.2091
2019-01-10,ADANIENT,EQ,149.35,151.0,151.8,148.5,151.5,151.1,150.34,3534546,53137965910000.0,21904,454351,0.1285
2019-01-11,ADANIENT,EQ,151.1,151.1,152.6,149.1,150.35,151.5,150.79,2254999,34002748745000.0,11453,331332,0.1469
2019-01-14,ADANIENT,EQ,151.5,151.0,151.15,147.0,148.2,148.35,148.28,2624582,38917638720000.0,13599,347850,0.1325
2019-01-15,ADANIENT,EQ,148.35,148.5,149.95,147.25,148.3,148.65,148.63,1805678,26837183160000.0,10461,268386,0.1486
2019-01-16,ADANIENT,EQ,148.65,148.2,150.7,148.0,148.5,148.45,148.87,1574176,23434681530000.0,11340,265243,0.1685
2019-01-17,ADANIENT,EQ,148.45,148.4,151.25,146.35,148.5,149.0,148.99,2618859,39019487665000.0,18145,268436,0.10250000000000001
2019-01-18,ADANIENT,EQ,149.0,149.7,149.8,144.55,146.55,146.75,147.01,2306520,33907921950000.0,12648,378588,0.1641
2019-01-21,ADANIENT,EQ,146.75,146.5,148.0,144.25,144.3,145.95,146.0,1763205,25742209485000.0,10284,164144,0.0931
