High,Low,Close
236.5,226.15,233.4
234.9,222.0,225.95
227.4,217.25,217.9
220.3,208.75,210.75
212.4,199.3,207.85
209.9,193.8,203.15
205.15,196.7,200.4
211.5,199.65,210.15
220.35,206.45,219.9
225.0,211.5,212.3
235.0,212.35,222.25
224.0,215.0,215.75
224.3,210.0,222.75
227.65,217.0,224.05
225.0,212.5,215.0
221.25,214.35,219.1
217.5,205.25,209.5
209.95,201.1,201.65
202.5,182.2,190.95
190.6,174.0,177.5
197.0,179.35,194.6
200.9,190.7,194.5
202.5,191.45,192.2
198.0,184.0,184.75
202.4,183.9,197.55
205.5,195.3,200.65
204.6,194.75,195.3
195.3,184.3,187.15
189.1,174.25,174.8
175.95,160.2,164.05
164.0,144.05,150.35
165.1,146.0,162.65
166.45,156.85,164.25
168.3,160.25,165.6
173.0,164.0,171.25
176.9,167.5,175.25
181.6,174.0,180.6
189.1,173.35,185.2
192.45,181.0,181.85
184.4,166.75,168.8
170.3,162.55,166.5
186.9,166.5,186.05
188.35,178.95,181.85
196.75,181.2,189.2
190.65,164.5,165.15
169.6,161.9,167.9
170.75,162.5,167.9
173.5,167.0,168.05
177.5,164.6,173.9
173.7,159.25,166.8
168.4,163.1,163.5
164.8,161.0,163.65
166.5,163.5,163.9
