Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
JINDALPHOT,EQ,31.85,31.85,32.6,31.85,32.6,32.6,32.19,2290,7371095000.0,22,2168,0.9467
JINDALPHOT,EQ,32.6,32.5,32.55,31.6,31.85,31.65,31.77,3930,12485310000.0,26,2719,0.6919
JINDALPHOT,EQ,31.65,31.35,32.2,31.35,31.6,31.6,31.72,1718,5450100000.0,19,1458,0.8487
JINDALPHOT,EQ,31.6,32.0,32.35,31.15,32.35,32.1,32.01,2541,8132810000.000001,36,2042,0.8036
JINDALPHOT,EQ,32.1,32.1,32.1,31.5,31.9,31.55,31.89,1312,4183505000.0000005,46,1115,0.8498000000000001
JINDALPHOT,EQ,31.55,31.85,31.85,31.1,31.25,31.5,31.32,2817,8822875000.0,40,2272,0.8065000000000001
JINDALPHOT,EQ,31.5,31.3,31.95,31.25,31.4,31.55,31.38,625,1961095000.0,14,600,0.96
JINDALPHOT,EQ,31.55,31.5,31.55,31.1,31.15,31.15,31.31,2129,6665635000.000001,16,2104,0.9883
JINDALPHOT,EQ,31.15,30.95,31.4,30.95,31.0,31.05,31.05,1126,3496685000.0,18,979,0.8694
JINDALPHOT,EQ,31.05,31.3,32.4,30.0,30.25,30.35,30.48,8192,24972850000.0,72,5418,0.6614
JINDALPHOT,EQ,30.35,31.75,31.75,30.35,31.0,30.7,30.67,2215,6793560000.000001,44,1780,0.8036
JINDALPHOT,EQ,30.7,30.35,31.35,30.35,31.2,30.8,30.71,787,2417240000.0,20,776,0.986
JINDALPHOT,EQ,30.8,31.35,31.85,30.4,31.3,30.9,30.8,324,998070000.0000001,30,226,0.6975
JINDALPHOT,EQ,30.9,30.55,31.6,30.0,31.3,31.25,30.83,976,3008825000.0,25,712,0.7295
JINDALPHOT,EQ,31.25,30.85,31.0,30.05,30.6,30.6,30.65,411,1259770000.0,14,399,0.9708
JINDALPHOT,EQ,30.6,31.15,32.1,30.2,30.5,30.3,30.29,1467,4443305000.0,14,1466,0.9993000000000001
JINDALPHOT,EQ,30.3,29.8,30.85,29.45,30.0,30.4,30.27,1190,3602360000.0,35,745,0.6261
JINDALPHOT,EQ,30.4,30.05,30.55,29.1,29.4,29.35,29.64,2863,8487185000.000001,50,1832,0.6399
JINDALPHOT,EQ,29.35,28.8,30.15,27.9,28.6,27.95,28.5,2173,6192470000.0,43,2101,0.9669
JINDALPHOT,EQ,27.95,27.35,28.95,26.6,26.95,26.6,26.92,4235,11399540000.0,59,3179,0.7506
JINDALPHOT,EQ,26.6,27.85,27.85,25.3,26.55,26.4,25.94,2557,6632720000.0,49,2169,0.8483
JINDALPHOT,EQ,26.4,27.65,27.65,25.8,26.55,26.6,26.39,870,2295980000.0,17,829,0.9529000000000001
JINDALPHOT,EQ,26.6,27.65,27.85,26.6,27.05,27.05,27.42,577,1582125000.0,9,541,0.9376000000000001
JINDALPHOT,EQ,27.05,26.75,28.3,26.75,27.5,27.65,27.69,1331,3686119999.9999995,40,843,0.6334000000000001
JINDALPHOT,EQ,27.65,27.25,27.25,26.3,26.3,26.3,26.36,3167,8348460000.000001,24,2317,0.7316
JINDALPHOT,EQ,26.3,27.15,27.15,25.0,25.0,25.0,25.03,2009,5029275000.0,31,1595,0.7939
JINDALPHOT,EQ,25.0,23.85,23.85,23.75,23.75,23.75,23.76,1882,4472000000.0,19,1482,0.7875
JINDALPHOT,EQ,23.75,23.75,23.8,21.4,21.4,21.4,21.91,6646,14559025000.0,68,6406,0.9639
JINDALPHOT,EQ,21.4,21.4,21.4,19.3,19.5,19.45,19.46,18828,36634065000.0,120,16874,0.8962000000000001
JINDALPHOT,EQ,19.45,19.45,21.15,19.0,20.0,19.95,20.42,16609,33918395000.0,92,9181,0.5528000000000001
JINDALPHOT,EQ,19.95,21.15,21.15,19.65,19.95,19.95,20.21,3304,6677364999.999999,33,2943,0.8906999999999999
JINDALPHOT,EQ,19.95,19.7,20.0,18.55,19.85,19.35,19.32,2972,5741225000.0,44,1651,0.5555
JINDALPHOT,EQ,19.35,20.0,20.0,19.25,19.65,19.9,19.81,2708,5364465000.0,33,1637,0.6045
JINDALPHOT,EQ,19.9,19.65,20.35,18.5,18.5,18.85,19.36,10607,20533560000.0,67,8891,0.8382
JINDALPHOT,EQ,18.85,18.5,19.75,17.3,18.25,18.95,18.77,6574,12340450000.0,73,3779,0.5748
JINDALPHOT,EQ,18.95,18.6,19.9,18.2,18.25,18.75,18.73,6378,11945740000.0,55,5341,0.8373999999999999
JINDALPHOT,EQ,18.75,18.75,20.0,18.75,20.0,19.7,19.4,5426,10525920000.0,72,4921,0.9069
JINDALPHOT,EQ,19.7,20.0,20.35,19.3,19.55,19.55,19.97,1834,3662769999.9999995,28,1783,0.9722000000000001
JINDALPHOT,EQ,19.55,20.45,21.0,19.0,21.0,20.55,20.44,8372,17112540000.0,64,7830,0.9353
JINDALPHOT,EQ,20.55,21.3,21.65,19.5,20.5,20.5,20.74,2089,4332580000.0,42,1203,0.5759000000000001
JINDALPHOT,EQ,20.5,19.95,20.35,18.5,19.5,19.75,19.23,5254,10105455000.0,50,2611,0.49700000000000005
JINDALPHOT,EQ,19.75,20.55,20.55,19.3,19.3,19.35,19.58,3979,7792660000.000001,34,3777,0.9492
JINDALPHOT,EQ,19.35,20.0,20.0,19.3,19.9,19.9,19.88,2446,4862465000.0,25,2236,0.9141
JINDALPHOT,EQ,19.9,19.55,21.5,19.2,20.95,21.05,20.95,4504,9437460000.0,55,3776,0.8384
JINDALPHOT,EQ,21.05,22.5,23.15,21.1,23.15,23.15,22.33,14219,31746370000.0,116,10813,0.7605
JINDALPHOT,EQ,23.15,23.55,25.45,23.55,25.45,25.45,25.24,10658,26895820000.0,105,6338,0.5947
JINDALPHOT,EQ,25.45,26.5,26.7,26.45,26.7,26.7,26.65,5266,14035500000.0,52,4706,0.8937
JINDALPHOT,EQ,26.7,27.5,28.0,25.4,25.4,25.4,25.97,22576,58633405000.00001,159,16417,0.7272
JINDALPHOT,EQ,25.4,24.7,25.35,24.15,24.15,24.15,24.27,21636,52503975000.0,165,16302,0.7535
JINDALPHOT,EQ,24.15,24.5,25.3,24.1,25.3,25.1,24.92,22697,56559980000.00001,135,15243,0.6716
JINDALPHOT,EQ,25.1,24.8,26.0,24.5,25.0,25.0,25.2,9078,22880425000.0,82,4973,0.5478000000000001
JINDALPHOT,EQ,25.0,24.6,25.75,24.05,24.55,24.55,24.9,5300,13196320000.000002,49,2520,0.4755
JINDALPHOT,EQ,24.55,24.5,24.55,23.6,24.3,24.0,24.18,10367,25068450000.0,63,4569,0.44070000000000004
JINDALPHOT,EQ,24.0,24.0,24.0,23.0,23.0,23.15,23.28,2528,5885675000.0,41,2123,0.8398000000000001
JINDALPHOT,EQ,23.15,22.9,23.95,22.8,23.4,23.35,23.31,6290,14659595000.000002,50,3134,0.4983
JINDALPHOT,EQ,23.35,23.8,24.0,22.9,24.0,24.0,23.3,3474,8093055000.0,38,3271,0.9416
JINDALPHOT,EQ,24.0,24.65,24.65,22.9,23.0,22.95,23.04,7856,18100985000.0,50,5800,0.7383
JINDALPHOT,EQ,22.95,22.5,23.4,21.85,21.85,21.85,21.92,10201,22360310000.0,62,7777,0.7624
JINDALPHOT,EQ,21.85,21.85,22.0,21.0,21.0,21.05,21.21,3484,7388500000.0,44,2300,0.6602
JINDALPHOT,EQ,21.05,20.8,21.65,20.5,20.5,20.5,21.08,10193,21485020000.0,49,6044,0.593
JINDALPHOT,EQ,20.5,20.5,21.15,20.5,20.6,20.6,20.71,1478,3061125000.0,13,1054,0.7131000000000001
JINDALPHOT,EQ,20.6,20.45,21.0,20.0,21.0,20.45,20.59,7354,15138754999.999998,69,4785,0.6507
JINDALPHOT,EQ,20.45,21.0,21.0,19.65,20.65,20.65,20.39,1680,3425469999.9999995,30,1179,0.7018000000000001
JINDALPHOT,EQ,20.65,21.15,21.4,20.15,20.95,20.95,20.72,8024,16628090000.0,57,3524,0.43920000000000003
JINDALPHOT,EQ,20.95,21.5,21.95,20.65,21.6,21.05,21.11,9100,19207205000.0,72,4062,0.4464
JINDALPHOT,EQ,21.05,21.1,21.2,20.1,20.3,20.3,20.4,5698,11625735000.0,56,4515,0.7924
JINDALPHOT,EQ,20.3,20.4,21.25,20.0,21.25,21.05,20.88,2737,5714965000.0,46,2509,0.9167000000000001
JINDALPHOT,EQ,21.05,21.0,22.45,20.8,22.45,22.15,22.01,6788,14941629999.999998,81,3513,0.5175
JINDALPHOT,EQ,22.15,22.0,22.0,21.0,21.9,21.85,21.48,9491,20382615000.0,60,1813,0.19100000000000003
JINDALPHOT,EQ,21.85,22.3,23.9,22.0,22.25,22.6,22.62,7106,16072550000.0,93,3166,0.4455
JINDALPHOT,EQ,22.6,22.1,22.7,21.3,22.15,21.8,21.92,898,1967995000.0,38,329,0.3664
JINDALPHOT,EQ,21.8,22.0,23.5,21.05,22.0,21.9,21.87,7100,15528590000.0,84,2632,0.37070000000000003
JINDALPHOT,EQ,21.9,21.25,22.5,21.0,21.5,21.55,21.69,1393,3021925000.0,33,1100,0.7897
JINDALPHOT,EQ,21.55,21.15,22.5,20.2,21.0,21.15,21.01,23196,48728045000.0,127,13908,0.5996
JINDALPHOT,EQ,21.15,21.2,22.4,20.75,21.55,21.9,21.33,13379,28537150000.0,66,11716,0.8756999999999999
JINDALPHOT,EQ,21.9,22.65,22.65,20.05,20.25,20.3,21.16,3454,7307264999.999999,53,1907,0.5521
JINDALPHOT,EQ,20.3,20.3,22.0,19.8,21.6,20.5,20.39,7108,14495645000.000002,60,5473,0.77
JINDALPHOT,EQ,20.5,21.75,22.0,20.0,21.0,20.55,20.71,9340,19341265000.0,91,3726,0.39890000000000003
JINDALPHOT,EQ,20.55,21.0,21.25,20.55,21.15,21.1,20.97,339,710795000.0,16,189,0.5575
JINDALPHOT,EQ,21.1,22.2,22.2,20.3,21.0,20.85,21.21,3466,7352520000.0,67,2269,0.6546
JINDALPHOT,EQ,20.85,20.35,20.35,19.05,20.0,20.0,19.65,6713,13191785000.0,84,3288,0.48979999999999996
JINDALPHOT,EQ,20.0,19.65,20.45,19.3,19.9,19.7,19.67,1604,3154610000.0,40,1088,0.6783
JINDALPHOT,EQ,19.7,20.8,20.8,19.1,19.5,19.5,19.49,6717,13088575000.0,45,3216,0.47880000000000006
